local10.txt
R	0.0074080000000000005
S	3.7243243
T	69.71661220000001
D	3.3394147
N	88.65395910000001
I	0.0688101
overall	7.761433111349038
P	4368.368265200001
O	268.1297651

local20.txt
R	0.0031601111111111114
S	3.331605833333333
T	62.84733150000001
D	2.366029055555556
N	74.27683793548387
I	0.030228444444444447
overall	2.494573771158273
P	4369.724449944444
O	192.60321216666668

local40.txt
R	0.0015705862068965514
S	3.037871275862069
T	57.26332062068966
D	1.1745025172413794
N	73.6899081724138
I	0.016666379310344828
overall	1.8484261740783867
P	3923.7736300689653
O	131.70363

majority40.txt
R	0.1032068148148148
S	4.004696518518518
T	74.2139097037037
D	4.331367370370371
N	0.9365872222222222
I	0.14430222222222222
overall	1.2062252350464648
P	5.057468296296297
O	240.54282633333332
